publisher_name,domain,app_ads_path,notes
Monetizr,https://monetizr.com,/app-ads.txt,Primary site
TapNation,https://tap-nation.io,/app-ads.txt,Primary site
EzGames,https://ezgames.cc,/app-ads.txt,Primary site

